Pclass,Sex,Fare,Embarked,Survived
3,female,14.4542,C,0
3,female,15.5,Q,1
2,male,10.5,S,0
3,male,7.125,S,0
3,male,7.225,C,0
1,male,90,Q,0
3,female,7.775,S,0
2,female,14.5,S,1
1,male,52.5542,S,1
2,male,26,S,0
3,male,7.25,S,0
3,female,10.4625,S,0
1,male,26.55,S,0
3,male,16.1,S,0
3,female,20.2125,S,0
3,female,15.2458,C,1
1,female,79.2,C,1
1,female,86.5,S,1
1,female,512.3292,C,1
2,female,26,S,1
3,male,7.75,Q,0
3,male,31.3875,S,1
1,male,79.65,S,0
1,male,0,S,0
3,female,7.75,Q,0
2,male,10.5,S,0
3,male,39.6875,S,0
3,male,7.775,S,1
1,female,153.4625,S,1
1,female,135.6333,S,1
1,male,31,S,0
3,male,0,S,1
2,female,19.5,S,1
1,male,29.7,C,0
3,female,7.75,Q,1
1,female,77.9583,S,1
3,female,7.75,S,0
2,male,0,S,0
3,male,29.125,Q,0
3,female,20.25,S,1
3,male,7.75,Q,0
3,male,7.8542,S,0
3,male,9.5,S,0
3,male,8.05,S,1
1,male,26,S,0
3,male,8.6625,C,0
3,male,9.5,S,1
3,male,7.8958,S,0
2,male,13,S,1
3,female,7.75,Q,1
1,female,78.85,S,1
1,female,91.0792,C,1
2,male,12.875,C,0
3,female,8.85,S,0
3,male,7.8958,S,0
1,male,27.7208,C,0
3,male,7.2292,C,0
1,female,151.55,S,0
1,male,30.5,S,1
1,female,247.5208,C,1
3,female,7.75,Q,1
3,male,23.25,Q,1
3,male,0,S,0
2,female,12.35,Q,1
3,male,8.05,S,0
1,male,151.55,S,1
1,female,110.8833,C,1
1,female,108.9,C,1
2,male,24,C,0
1,female,56.9292,C,1
1,female,83.1583,C,1
1,female,262.375,C,1
2,female,26,S,0
3,male,7.8958,S,0
2,male,26.25,S,0
3,female,7.8542,S,1
2,female,26,S,1
2,male,14,S,0
1,female,164.8667,S,1
1,female,134.5,C,1
3,male,7.25,S,0
3,male,7.8958,S,0
2,female,12.35,Q,1
2,female,29,S,1
3,male,69.55,S,0
1,female,135.6333,C,1
3,male,6.2375,S,0
2,female,13,S,1
3,female,20.525,S,1
1,female,57.9792,C,1
3,female,23.25,Q,1
1,male,28.5,S,0
1,male,153.4625,S,0
3,male,18,S,0
1,female,133.65,S,1
3,male,7.8958,S,0
1,male,66.6,S,0
1,female,134.5,C,1
3,male,8.05,S,1
1,male,35.5,S,0
2,male,26,S,1
1,female,263,S,1
2,male,13,S,0
2,male,13,S,0
2,male,13,S,0
2,female,13,S,1
2,female,13,S,1
3,female,16.1,S,1
3,male,15.9,S,1
3,male,8.6625,S,0
3,male,9.225,S,0
1,male,35,S,0
3,male,7.2292,C,0
3,male,17.8,S,0
3,male,7.225,C,0
3,male,9.5,S,0
1,female,55,S,1
2,female,13,S,0
3,female,7.8792,Q,1
3,female,7.8792,Q,1
3,male,27.9,S,0
2,male,27.7208,C,0
3,female,14.4542,C,0
3,male,7.05,S,0
3,male,15.5,Q,0
3,male,7.25,S,0
1,female,75.25,C,1
3,female,7.2292,C,1
3,female,7.75,Q,1
1,female,69.3,C,1
1,male,55.4417,C,1
3,male,6.4958,S,0
3,male,8.05,S,0
1,male,135.6333,C,0
3,female,21.075,S,0
1,female,82.1708,C,1
3,female,7.25,S,1
1,male,211.5,C,0
3,male,4.0125,C,0
3,male,7.775,S,0
1,female,227.525,C,1
3,female,15.7417,C,1
3,male,7.925,S,0
1,female,52,S,1
3,male,7.8958,S,0
2,male,73.5,S,0
3,male,46.9,S,0
2,female,13,S,1
3,male,7.7292,Q,0
2,female,12,C,1
1,male,120,S,1
3,male,7.7958,S,1
3,male,7.925,S,0
1,female,113.275,C,1
3,female,16.7,S,1
3,male,7.7958,S,0
3,female,7.8542,S,0
2,male,26,S,0
2,male,10.5,S,0
2,female,12.65,S,1
3,male,7.925,S,1
3,male,8.05,S,0
3,female,9.825,S,0
3,male,15.85,S,0
3,female,8.6625,S,0
2,male,21,S,0
3,male,7.75,S,0
2,male,18.75,S,1
3,male,7.775,S,0
3,female,25.4667,S,0
3,male,7.8958,S,0
3,male,6.8583,Q,0
1,female,90,Q,1
2,male,0,S,0
3,male,7.925,S,1
3,female,8.05,S,0
2,female,32.5,S,1
2,female,13,S,1
2,male,13,S,0
3,female,24.15,S,0
3,male,7.8958,C,0
3,male,7.7333,Q,0
3,male,7.875,S,0
3,female,14.4,S,0
3,male,20.2125,S,0
3,male,7.25,S,0
2,female,26,S,1
2,female,26,S,1
3,male,7.75,Q,0
3,male,8.05,S,1
1,male,26.55,S,1
3,female,16.1,S,1
2,female,26,S,1
3,male,7.125,S,0
1,male,55.9,S,0
1,female,120,S,1
3,female,34.375,S,0
2,female,18.75,S,1
1,male,263,S,0
2,male,10.5,S,0
2,female,26.25,S,1
3,male,9.5,S,0
3,male,7.775,S,0
2,female,13,S,1
3,male,8.1125,S,1
1,male,81.8583,S,1
2,female,19.5,S,1
1,male,26.55,S,1
3,female,19.2583,C,1
1,male,30.5,S,1
2,male,27.75,S,0
3,male,19.9667,S,0
1,male,27.75,C,0
1,male,89.1042,C,1
3,male,8.05,S,0
3,male,7.8958,C,1
1,male,26.55,S,0
1,female,51.8625,S,1
2,female,10.5,S,1
3,male,7.75,Q,0
1,male,26.55,S,1
3,male,8.05,S,0
1,male,38.5,S,0
2,male,13,S,0
3,male,8.05,S,0
3,male,7.05,S,0
2,male,0,S,0
1,male,26.55,S,0
3,male,7.725,Q,0
3,female,19.2583,C,1
3,male,7.25,S,0
3,male,8.6625,S,0
2,female,27.75,S,1
2,female,13.7917,C,1
3,female,9.8375,S,0
1,male,52,S,0
2,male,21,S,0
3,male,7.0458,S,0
3,male,7.5208,S,0
3,female,12.2875,S,1
3,male,46.9,S,0
2,male,0,S,0
3,male,8.05,S,0
3,female,9.5875,S,1
1,male,91.0792,C,1
3,female,25.4667,S,0
1,female,90,S,1
1,male,29.7,C,0
3,male,8.05,S,0
3,male,15.9,S,1
3,male,19.9667,S,0
3,male,7.25,S,0
1,male,30.5,S,0
1,male,49.5042,C,0
3,male,8.05,S,0
3,male,14.4583,C,0
1,female,78.2667,C,1
3,male,15.1,S,0
1,female,151.55,S,0
3,male,7.7958,S,0
3,male,8.6625,S,0
3,female,7.75,Q,0
3,female,7.6292,Q,0
3,female,9.5875,S,0
1,female,86.5,S,1
1,male,108.9,C,0
2,female,26,S,1
1,male,26.55,S,1
3,male,22.525,S,0
3,male,56.4958,S,1
3,male,7.75,Q,1
3,male,8.05,S,0
1,male,26.2875,S,1
1,female,59.4,C,1
3,male,7.4958,S,0
1,male,34.0208,S,0
2,female,10.5,S,1
3,male,24.15,Q,0
2,female,26,S,1
3,male,7.8958,S,0
1,female,93.5,S,1
3,male,7.8958,S,0
3,male,7.225,C,0
1,female,57.9792,C,1
3,male,7.2292,C,0
3,male,7.75,Q,0
2,female,10.5,S,1
1,male,221.7792,S,0
3,male,7.925,S,0
2,male,11.5,S,0
2,female,26,S,1
3,male,7.2292,C,0
3,male,7.2292,C,0
3,female,22.3583,C,1
3,female,8.6625,S,0
2,female,26.25,S,1
1,male,26.55,S,0
1,female,106.425,C,1
3,male,14.5,S,0
1,female,49.5,C,1
1,female,71,S,1
3,female,31.275,S,0
3,female,31.275,S,0
2,male,26,S,1
1,male,106.425,C,0
1,male,26,S,0
2,female,26,S,1
2,male,13.8625,C,1
3,male,20.525,S,0
2,male,36.75,S,1
1,male,110.8833,C,1
2,male,26,S,0
3,male,7.8292,Q,0
3,male,7.225,C,1
3,female,7.775,S,1
1,male,26.55,S,0
1,female,39.6,C,1
1,male,227.525,C,0
1,female,79.65,S,1
3,female,17.4,S,1
3,male,7.75,Q,0
3,male,7.8958,S,0
2,male,13.5,S,0
3,male,8.05,S,0
3,female,8.05,S,0
3,male,24.15,S,0
3,male,7.8958,S,0
3,female,21.075,S,0
3,male,7.2292,C,0
3,male,7.8542,S,1
2,male,10.5,S,1
1,female,51.4792,S,1
1,male,26.3875,S,1
3,female,7.75,Q,1
3,male,8.05,S,0
3,male,14.5,S,0
2,female,13,S,1
1,female,55.9,S,1
3,female,14.4583,C,0
3,male,7.925,S,1
2,female,30,S,1
1,female,110.8833,C,1
2,male,26,S,0
1,male,40.125,C,0
3,male,8.7125,C,0
1,female,79.65,S,1
2,male,15,S,0
1,male,79.2,C,1
3,male,8.05,S,0
3,male,8.05,S,0
3,male,7.125,S,0
1,female,78.2667,C,1
3,male,7.25,S,0
3,female,7.75,Q,0
2,male,26,S,0
3,male,24.15,S,0
2,female,33,S,1
3,male,0,S,0
3,male,7.225,C,0
1,male,56.9292,C,1
2,female,27,S,1
3,male,7.8958,S,0
1,male,42.4,S,0
3,male,8.05,S,0
1,male,26.55,C,1
3,male,15.55,S,0
3,male,7.8958,S,0
1,male,30.5,S,1
2,female,41.5792,C,1
1,female,153.4625,S,1
3,female,31.275,S,0
3,male,7.05,S,0
3,female,15.5,Q,1
3,male,7.75,Q,0
3,male,8.05,S,0
2,female,65,S,1
3,male,14.4,S,0
3,female,16.1,S,0
2,female,39,S,1
2,male,10.5,S,0
3,male,14.4542,C,0
1,male,52.5542,S,1
3,male,15.7417,C,1
3,male,7.8542,S,0
3,male,16.1,S,0
1,male,32.3208,S,0
2,male,12.35,Q,0
1,female,77.9583,S,1
3,male,7.8958,S,0
3,male,7.7333,Q,0
1,male,30,S,1
3,male,7.0542,S,0
1,male,30.5,C,1
1,male,0,S,0
3,female,27.9,S,0
2,female,13,S,1
3,male,7.925,S,0
2,male,26.25,S,0
3,female,39.6875,S,0
3,male,16.1,S,0
3,male,7.8542,S,0
1,female,69.3,C,1
3,female,27.9,S,0
3,male,56.4958,S,1
3,female,19.2583,C,1
1,male,76.7292,C,1
3,male,7.8958,S,0
1,male,35.5,C,1
3,male,7.55,S,0
3,female,7.55,S,1
3,male,7.8958,S,0
2,female,23,S,1
3,male,8.4333,S,0
3,female,7.8292,Q,1
3,female,6.75,Q,0
2,male,73.5,S,0
3,male,7.8958,S,0
3,female,15.5,Q,0
2,male,13,S,0
1,male,113.275,C,0
1,male,133.65,S,1
3,male,7.225,C,0
1,male,25.5875,S,0
3,male,7.4958,S,0
3,male,7.925,S,1
2,male,73.5,S,0
2,male,13,S,0
3,male,7.775,S,0
3,male,8.05,S,0
1,female,52,S,1
2,female,39,S,1
1,male,52,S,0
2,male,10.5,S,0
2,male,13,S,1
2,male,0,S,0
3,male,7.775,S,0
3,male,8.05,S,0
3,female,9.8417,S,1
3,female,46.9,S,0
1,male,512.3292,C,1
3,female,8.1375,Q,0
1,male,76.7292,C,1
3,male,9.225,S,0
3,male,46.9,S,0
2,male,39,S,0
2,male,41.5792,C,0
3,male,39.6875,S,0
3,male,10.1708,S,0
3,male,7.7958,S,0
1,female,211.3375,S,1
1,male,57,S,1
3,female,13.4167,C,1
3,male,56.4958,S,1
3,male,7.225,C,0
1,male,26.55,S,0
2,male,13.5,S,0
3,male,8.05,S,0
3,female,7.7333,Q,1
1,male,110.8833,C,0
3,male,7.65,S,0
1,female,227.525,C,1
1,male,26.2875,S,1
3,female,14.4542,C,0
3,male,7.7417,Q,0
3,male,7.8542,S,0
2,male,26,S,0
2,female,13.5,S,1
1,male,26.2875,S,1
1,female,151.55,S,1
3,male,15.2458,C,1
1,female,49.5042,C,1
1,male,26.55,S,0
1,male,52,S,1
3,male,9.4833,S,0
2,male,13,S,0
3,male,7.65,S,0
1,female,227.525,C,1
2,female,10.5,S,1
3,male,15.5,Q,0
3,male,7.775,S,0
2,female,33,S,1
3,male,7.0542,S,0
2,male,13,S,0
2,male,13,S,0
1,male,53.1,S,1
3,male,8.6625,S,0
2,female,21,S,1
3,female,7.7375,Q,1
2,male,26,S,0
3,female,7.925,S,0
1,female,211.3375,S,1
3,male,18.7875,C,0
2,male,0,S,0
2,male,13,S,0
2,male,13,S,0
3,male,16.1,S,0
3,female,34.375,S,0
1,male,512.3292,C,1
3,male,7.8958,S,0
3,male,7.8958,S,0
1,male,30,S,1
1,male,78.85,S,0
1,female,262.375,C,1
3,male,16.1,S,0
3,male,7.925,S,1
1,male,71,S,0
3,male,20.25,S,0
2,female,13,S,1
1,male,53.1,S,0
3,male,7.75,Q,0
2,female,23,S,1
3,male,12.475,S,1
3,male,9.5,S,0
3,male,7.8958,S,0
2,female,65,S,1
2,male,14.5,S,1
3,male,7.7958,S,0
2,male,11.5,S,0
3,male,8.05,S,0
1,female,86.5,S,1
3,male,14.5,S,0
3,male,7.125,S,0
3,male,7.2292,C,1
1,female,120,S,1
3,male,7.775,S,0
1,female,77.9583,S,1
1,male,39.6,C,0
3,female,7.75,Q,0
3,male,24.15,Q,0
3,male,8.3625,S,0
3,male,9.5,S,0
3,male,7.8542,S,0
2,female,10.5,S,0
3,male,7.225,C,0
2,female,23,S,1
3,male,7.75,S,0
3,male,7.75,Q,0
3,female,12.475,S,1
3,male,7.7375,Q,0
1,female,211.3375,S,1
3,female,7.2292,C,1
1,female,57,S,1
1,male,30,S,0
3,male,23.45,S,0
3,male,7.05,S,0
3,male,7.25,S,0
3,female,7.4958,S,1
3,male,29.125,Q,0
3,male,20.575,S,1
1,male,79.2,C,0
3,male,7.75,Q,0
2,male,26,S,0
3,female,69.55,S,0
1,male,30.6958,C,0
3,male,7.8958,S,0
2,male,13,S,0
1,female,25.9292,S,1
3,female,8.6833,S,1
3,male,7.2292,C,0
3,female,24.15,S,0
2,male,13,S,0
2,female,26.25,S,1
1,male,120,S,1
3,male,8.5167,C,1
3,male,6.975,S,1
3,male,7.775,S,0
1,male,0,S,0
3,female,7.775,S,0
2,male,13,S,0
1,female,53.1,S,1
3,male,7.8875,S,0
3,male,24.15,S,0
2,male,10.5,S,0
3,female,31.275,S,0
3,male,8.05,S,0
1,male,0,S,0
3,female,7.925,S,0
2,male,37.0042,C,0
3,male,6.45,S,0
3,male,27.9,S,0
1,female,93.5,S,1
3,male,8.6625,S,1
1,male,0,S,0
3,female,12.475,S,1
3,male,39.6875,S,0
3,male,6.95,Q,0
3,male,56.4958,S,0
2,male,37.0042,C,1
3,male,7.75,Q,1
1,female,80,S,1
3,female,14.4542,C,1
2,male,18.75,S,1
3,male,7.2292,C,0
3,male,7.8542,S,0
3,male,8.3,S,0
1,female,83.1583,C,1
3,male,8.6625,S,0
3,male,8.05,S,0
3,male,56.4958,S,1
1,male,29.7,C,1
3,male,7.925,S,0
2,male,10.5,S,0
1,female,31,C,1
3,male,6.4375,C,0
3,male,8.6625,S,0
3,male,7.55,S,0
3,male,69.55,S,0
3,male,7.8958,C,0
2,male,33,S,0
1,female,89.1042,C,1
3,male,31.275,S,0
3,male,7.775,S,0
3,female,15.2458,C,0
1,female,39.4,S,1
2,female,26,S,0
3,female,9.35,S,1
1,female,164.8667,S,1
1,male,26.55,S,1
3,female,19.2583,C,1
3,male,7.2292,C,0
3,male,14.1083,S,0
2,male,11.5,S,0
1,female,25.9292,S,1
3,female,69.55,S,0
2,male,13,S,0
2,female,13,S,1
2,female,13.8583,C,1
1,male,50.4958,S,0
3,male,9.5,S,0
3,male,11.1333,S,1
3,male,7.8958,S,0
1,female,52.5542,S,1
1,male,5,S,0
3,male,9,S,0
2,female,24,C,1
3,female,7.225,C,1
3,male,9.8458,S,0
3,male,7.8958,S,0
3,male,7.8958,S,0
1,female,83.1583,C,1
2,female,26,S,1
3,male,7.8958,S,0
3,female,10.5167,S,0
2,male,10.5,S,0
3,male,7.05,S,0
3,female,29.125,Q,0
2,male,13,S,0
1,female,30,S,1
3,female,23.45,S,0
1,male,30,C,1
3,male,7.75,Q,0
